zip,type,primary_city,state,area_codes,latitude,longitude,estimated_population
1128,STANDARD,Springfield,MA,413,42.11,-72.53,2510
1129,STANDARD,Springfield,MA,413,42.11,-72.53,5884
1133,UNIQUE,Springfield,MA,413,42.1,-72.59,0
1138,PO BOX,Springfield,MA,413,42.11,-72.53,509
1139,PO BOX,Springfield,MA,413,42.11,-72.53,0
1144,STANDARD,Springfield,MA,413,42.11,-72.53,0
1151,STANDARD,Indian Orchard,MA,413,42.15,-72.51,6080
1152,STANDARD,Springfield,MA,413,42.11,-72.53,0
1195,STANDARD,Springfield,MA,413,42.1,-72.58,0
1199,UNIQUE,Springfield,MA,413,42.11,-72.53,0
1201,STANDARD,Pittsfield,MA,413,42.45,-73.26,36002
1202,PO BOX,Pittsfield,MA,413,42.45,-73.26,1186
1203,PO BOX,Pittsfield,MA,413,42.45,-73.26,0
1220,STANDARD,Adams,MA,413,42.62,-73.11,6993
1222,STANDARD,Ashley Falls,MA,413,42.05,-73.33,681
1223,STANDARD,Becket,MA,413,42.33,-73.07,1964
1224,STANDARD,Berkshire,MA,413,42.51,-73.19,0
1225,STANDARD,Cheshire,MA,413,42.55,-73.15,2990
1226,STANDARD,Dalton,MA,413,42.47,-73.16,5793
1227,PO BOX,Dalton,MA,413,42.47,-73.16,0
1229,PO BOX,Glendale,MA,413,42.3,-73.32,0
1230,STANDARD,Great Barrington,MA,413,42.19,-73.35,5873
1235,STANDARD,Hinsdale,MA,413,42.42,-73.07,2476
1236,STANDARD,Housatonic,MA,413,42.25,-73.36,1486
1237,STANDARD,Lanesboro,MA,413,42.51,-73.22,2606
1238,STANDARD,Lee,MA,413,42.3,-73.25,5056
1240,STANDARD,Lenox,MA,413,42.35,-73.28,4020
1242,PO BOX,Lenox Dale,MA,413,42.36,-73.27,515
1243,PO BOX,Middlefield,MA,413,42.35,-73.01,0
1244,PO BOX,Mill River,MA,413,42.12,-73.27,0
1245,STANDARD,Monterey,MA,413,42.18,-73.21,682
1247,STANDARD,North Adams,MA,413,42.68,-73.11,11730
1252,PO BOX,North Egremont,MA,413,42.17,-73.44,0
1253,STANDARD,Otis,MA,413,42.19,-73.07,778
1254,STANDARD,Richmond,MA,413,42.37,-73.36,1068
1255,STANDARD,Sandisfield,MA,413,42.11,-73.13,572
1256,STANDARD,Savoy,MA,413,42.56,-73.02,574
1257,STANDARD,Sheffield,MA,413,42.1,-73.34,2018
1258,STANDARD,South Egremont,MA,413,42.16,-73.41,591
1259,STANDARD,Southfield,MA,413,42.07,-73.23,438
1260,PO BOX,South Lee,MA,413,42.3,-73.23,0
1262,PO BOX,Stockbridge,MA,413,42.3,-73.32,1206
1263,UNIQUE,Stockbridge,MA,413,42.3,-73.32,0
1264,PO BOX,Tyringham,MA,413,42.24,-73.19,0
1266,STANDARD,West Stockbridge,MA,413,42.31,-73.39,1182
1267,STANDARD,Williamstown,MA,413,42.7,-73.2,5277
1270,STANDARD,Windsor,MA,413,42.51,-73.04,694
1301,STANDARD,Greenfield,MA,413,42.58,-72.59,13381
1302,PO BOX,Greenfield,MA,413,42.58,-72.59,406
1330,STANDARD,Ashfield,MA,413,42.53,-72.78,1345
1331,STANDARD,Athol,MA,978,42.59,-72.23,10562
1337,STANDARD,Bernardston,MA,413,42.66,-72.55,2438
1338,STANDARD,Buckland,MA,413,42.6,-72.78,0
1339,STANDARD,Charlemont,MA,413,42.63,-72.88,1250
1340,STANDARD,Colrain,MA,413,42.66,-72.68,1581
1341,STANDARD,Conway,MA,413,42.51,-72.68,1541
1342,STANDARD,Deerfield,MA,413,42.55,-72.6,1238
1343,STANDARD,Drury,MA,413,42.68,-72.98,0
1344,STANDARD,Erving,MA,"413,978",42.6,-72.4,1247
1346,STANDARD,Heath,MA,413,42.66,-72.83,0
1347,PO BOX,Lake Pleasant,MA,413,42.53,-72.54,0
1349,STANDARD,Millers Falls,MA,413,42.59,-72.55,697
1350,PO BOX,Monroe Bridge,MA,413,42.72,-72.98,0
1351,STANDARD,Montague,MA,413,42.53,-72.53,2016
1354,STANDARD,Gill,MA,413,42.7,-72.43,1338
1355,STANDARD,New Salem,MA,978,42.5,-72.33,803
1360,STANDARD,Northfield,MA,413,42.7,-72.43,2627
1364,STANDARD,Orange,MA,978,42.59,-72.3,6044
1366,STANDARD,Petersham,MA,978,42.48,-72.18,1104
1367,STANDARD,Rowe,MA,413,42.7,-72.9,444
1368,STANDARD,Royalston,MA,978,42.68,-72.18,1081
1370,STANDARD,Shelburne Falls,MA,413,42.6,-72.74,3439
